fid,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type,distance,angle,u_x,u_z
1,New file 1,,,,,,,,,,,,676,219.938703938929,,
1,New file 1,,,,,,,,,,,,678,219.938703938929,,
1,New file 1,,,,,,,,,,,,680,219.938703938929,,
1,New file 1,,,,,,,,,,,,682,239.476137749891,,
1,New file 1,,,,,,,,,,,,684,239.476137749891,,
1,New file 1,,,,,,,,,,,,686,239.476137749891,,
1,New file 1,,,,,,,,,,,,688,239.476137749891,,
1,New file 1,,,,,,,,,,,,690,239.476137749891,,
1,New file 1,,,,,,,,,,,,692,239.476137749891,,
1,New file 1,,,,,,,,,,,,694,239.476137749891,,
1,New file 1,,,,,,,,,,,,696,212.413479344357,,
1,New file 1,,,,,,,,,,,,698,132.864265859825,,
1,New file 1,,,,,,,,,,,,700,86.5839937192755,,
1,New file 1,,,,,,,,,,,,702,86.5839937192755,,
1,New file 1,,,,,,,,,,,,704,86.5839937192755,,
1,New file 1,,,,,,,,,,,,706,86.5839937192755,,
1,New file 1,,,,,,,,,,,,708,86.5839937192755,,
1,New file 1,,,,,,,,,,,,710,86.5839937192755,,
1,New file 1,,,,,,,,,,,,712,67.5351304582979,,
1,New file 1,,,,,,,,,,,,714,67.5351304582979,,
1,New file 1,,,,,,,,,,,,716,67.5351304582979,,
1,New file 1,,,,,,,,,,,,718,67.5351304582979,,
1,New file 1,,,,,,,,,,,,720,88.3101733462236,,
1,New file 1,,,,,,,,,,,,722,160.955018125139,,
1,New file 1,,,,,,,,,,,,724,220.891992332861,,
1,New file 1,,,,,,,,,,,,726,231.867666995292,,
1,New file 1,,,,,,,,,,,,728,231.867666995292,,
1,New file 1,,,,,,,,,,,,730,231.867666995292,,
1,New file 1,,,,,,,,,,,,732,231.867666995292,,
1,New file 1,,,,,,,,,,,,734,231.867666995292,,
1,New file 1,,,,,,,,,,,,736,225.800465673448,,
1,New file 1,,,,,,,,,,,,738,225.800465673448,,
1,New file 1,,,,,,,,,,,,740,225.800465673448,,
1,New file 1,,,,,,,,,,,,742,225.800465673448,,
1,New file 1,,,,,,,,,,,,744,155.689002318583,,
1,New file 1,,,,,,,,,,,,746,97.8369103352676,,
1,New file 1,,,,,,,,,,,,748,97.8369103352676,,
1,New file 1,,,,,,,,,,,,750,73.7991663231267,,
1,New file 1,,,,,,,,,,,,752,73.7991663231267,,
1,New file 1,,,,,,,,,,,,754,73.7991663231267,,
1,New file 1,,,,,,,,,,,,756,73.7991663231267,,
1,New file 1,,,,,,,,,,,,758,93.9330967454501,,
1,New file 1,,,,,,,,,,,,760,75.7761670788136,,
1,New file 1,,,,,,,,,,,,762,75.7761670788136,,
1,New file 1,,,,,,,,,,,,764,75.7761670788136,,
1,New file 1,,,,,,,,,,,,766,75.7761670788136,,
1,New file 1,,,,,,,,,,,,768,110.775637896816,,
1,New file 1,,,,,,,,,,,,770,216.240825376796,,
