fid,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type,distance,angle,x,y,u_x,u_z
1,New file 1,,,,,,,,,,,,240,220.084196340142,672269.5511078982,5267996.2292768462,2652.55110789824,540.770723153837
1,New file 1,,,,,,,,,,,,242,220.084196340142,672268.2632826580,5267994.6990787713,2651.26328265795,542.300921228714
1,New file 1,,,,,,,,,,,,244,220.084196340142,672266.9754574178,5267993.1688806955,2649.97545741766,543.831119304523
1,New file 1,,,,,,,,,,,,246,220.084196340142,672265.6876321774,5267991.6386826197,2648.68763217737,545.361317380331
1,New file 1,,,,,,,,,,,,248,220.084196340142,672264.3998069372,5267990.1084845439,2647.3998069372,546.89151545614
1,New file 1,,,,,,,,,,,,250,220.084196340142,672263.1119816970,5267988.5782864690,2646.11198169691,548.421713531017
1,New file 1,,,,,,,,,,,,252,220.084196340142,672261.8241564566,5267987.0480883932,2644.82415645663,549.951911606826
1,New file 1,,,,,,,,,,,,254,220.084196340142,672260.5363312165,5267985.5178903174,2643.53633121634,551.482109682634
1,New file 1,,,,,,,,,,,,256,220.084196340142,672259.2485059762,5267983.9876922416,2642.24850597617,553.012307758443
1,New file 1,,,,,,,,,,,,258,220.084196340142,672257.9606807360,5267982.4574941667,2640.96068073588,554.54250583332
1,New file 1,,,,,,,,,,,,260,220.084196340142,672256.6728554956,5267980.9272960909,2639.67285549559,556.072703909129
1,New file 1,,,,,,,,,,,,262,220.084196340142,672255.3850302554,5267979.3970980151,2638.3850302553,557.602901984937
1,New file 1,,,,,,,,,,,,264,220.084196340142,672254.0972050152,5267977.8668999393,2637.09720501513,559.133100060746
1,New file 1,,,,,,,,,,,,266,216.496750678019,672252.8487949822,5267976.3055842482,2635.84879498219,560.694415751845
1,New file 1,,,,,,,,,,,,268,216.496750678019,672251.6592405865,5267974.6978030633,2634.65924058633,562.302196936682
1,New file 1,,,,,,,,,,,,270,216.496750678019,672250.4696861904,5267973.0900218785,2633.46968619036,563.909978121519
1,New file 1,,,,,,,,,,,,272,216.496750678019,672249.2801317944,5267971.4822406927,2632.2801317944,565.517759307288
1,New file 1,,,,,,,,,,,,274,216.496750678019,672248.0905773984,5267969.8744595079,2631.09057739843,567.125540492125
1,New file 1,,,,,,,,,,,,276,216.496750678019,672246.9010230026,5267968.2666783230,2629.90102300246,568.733321676962
1,New file 1,,,,,,,,,,,,278,216.496750678019,672245.7114686066,5267966.6588971382,2628.71146860649,570.341102861799
